pdf_name,section,field,value,pages
2011_Peters_East Markoye_2011.pdf,geology,minerals,chlorite,"2, 22, 27, 28, 29"
2011_Peters_East Markoye_2011.pdf,geology,minerals,epidote,"2, 22, 27, 29"
2011_Peters_East Markoye_2011.pdf,geology,minerals,muscovite,"2, 22"
2011_Peters_East Markoye_2011.pdf,geology,minerals,plagioclase,"2, 21, 27, 32, 36, 47, 50"
2011_Peters_East Markoye_2011.pdf,geology,minerals,clinopyroxene,"2, 21, 22, 27, 37, 50"
2011_Peters_East Markoye_2011.pdf,geology,minerals,quartz,"12, 2, 21, 27, 28, 30, 32, 47"
2011_Peters_East Markoye_2011.pdf,geology,structures,N-S trending structures,2
2011_Peters_East Markoye_2011.pdf,geology,structures,dextral-reverse structures,2
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,back-arc basin,2
2011_Peters_East Markoye_2011.pdf,geochemistry,value,80,2
2011_Peters_East Markoye_2011.pdf,geochemistry,unit,%,"2, 61"
2011_Peters_East Markoye_2011.pdf,geochemistry,context,high quartz content in dykes,2
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,Palaeoproterozoic sedimentary rocks,2
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,deuteric alteration,"2, 28"
2011_Peters_East Markoye_2011.pdf,metadata,author,Asinne Tshibubudze,4
2011_Peters_East Markoye_2011.pdf,metadata,supervisor,Prof. K.A.A Ncube-Hein,4
2011_Peters_East Markoye_2011.pdf,metadata,institution,University of the Witwatersrand,"14, 4"
2011_Peters_East Markoye_2011.pdf,metadata,location,north-east Burkina Faso,5
2011_Peters_East Markoye_2011.pdf,geology,formation,Birimian,"5, 57"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metamorphosed volcanic rocks,5
2011_Peters_East Markoye_2011.pdf,geology,rock_types,pyroclastic rocks,"5, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metasedimentary rocks,"10, 5"
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,West African Craton,"5, 57"
2011_Peters_East Markoye_2011.pdf,geology,region,Markoye,6
2011_Peters_East Markoye_2011.pdf,geology,region,West African Craton,"58, 9"
2011_Peters_East Markoye_2011.pdf,geology,formation,Birimian Supergroup,"29, 42, 44, 51, 55, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,volcaniclastics,9
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metasediments,9
2011_Peters_East Markoye_2011.pdf,geology,rock_types,dacite,"38, 41, 50, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,meta-volcaniclastics,9
2011_Peters_East Markoye_2011.pdf,geology,rock_types,siltstone,"11, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,chert,"22, 37, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,shale,"11, 43, 9"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,chemical sediments,9
2011_Peters_East Markoye_2011.pdf,geology,rock_types,tholeitic basalts,9
2011_Peters_East Markoye_2011.pdf,geology,rock_types,granitoidal lavas,9
2011_Peters_East Markoye_2011.pdf,geology,rock_types,clastic sediments,9
2011_Peters_East Markoye_2011.pdf,geology,region,Wanganui Basin,"10, 43"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,conglomerate,"10, 22, 23, 24, 37, 38, 40, 41, 43, 51"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,sandstone,"10, 11, 22, 41, 43"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,phyllite,10
2011_Peters_East Markoye_2011.pdf,geology,rock_types,volcanic units,10
2011_Peters_East Markoye_2011.pdf,geology,rock_types,granite,"10, 11, 22, 50"
2011_Peters_East Markoye_2011.pdf,geology,structures,fault systems,10
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,back-arc setting at the convergence of the Pacific Plate with the Australian Plate,10
2011_Peters_East Markoye_2011.pdf,geochronology,age_Ma,25.0,10
2011_Peters_East Markoye_2011.pdf,geochronology,rock_unit,greywacke,10
2011_Peters_East Markoye_2011.pdf,geochronology,evidence,subduction zone activity,10
2011_Peters_East Markoye_2011.pdf,geology,region,Burkina Faso,"11, 12"
2011_Peters_East Markoye_2011.pdf,geology,formation,Burrell Creek Formation,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,tonalite,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,pyroxenite,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,gabbro,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,adamellite,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,dolerite,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,monzonite,11
2011_Peters_East Markoye_2011.pdf,geology,structures,Markoye Shear Zone,11
2011_Peters_East Markoye_2011.pdf,geology,structures,Takabangou Shear Zone,11
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,Eburnean Orogeny,"11, 44"
2011_Peters_East Markoye_2011.pdf,geochronology,age_Ma,250,11
2011_Peters_East Markoye_2011.pdf,geology,rock_types,turbidites,12
2011_Peters_East Markoye_2011.pdf,geology,rock_types,intrusive rocks,12
2011_Peters_East Markoye_2011.pdf,geology,rock_types,conglomerates,12
2011_Peters_East Markoye_2011.pdf,geology,rock_types,quartz veins,12
2011_Peters_East Markoye_2011.pdf,geology,minerals,gold,"12, 55"
2011_Peters_East Markoye_2011.pdf,geology,minerals,arsenopyrite,12
2011_Peters_East Markoye_2011.pdf,geology,minerals,carbonate,12
2011_Peters_East Markoye_2011.pdf,geology,structures,north-west trending fold-thrust belt,12
2011_Peters_East Markoye_2011.pdf,geology,structures,north-northeast orientation shear zones,12
2011_Peters_East Markoye_2011.pdf,geology,structures,dextral reverse thrusts,12
2011_Peters_East Markoye_2011.pdf,geology,structures,WNW-trending shears,12
2011_Peters_East Markoye_2011.pdf,geology,structures,folds,"12, 27, 30, 44"
2011_Peters_East Markoye_2011.pdf,geology,structures,stockwork veins,12
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,"pre-orogenic, syn-orogenic, post-orogenic",12
2011_Peters_East Markoye_2011.pdf,metallogeny,mineralisation_type,Gold mineralisation,12
2011_Peters_East Markoye_2011.pdf,metallogeny,associated_structures,tourmalinised turbidites,12
2011_Peters_East Markoye_2011.pdf,metallogeny,associated_structures,disseminated sulphides,12
2011_Peters_East Markoye_2011.pdf,metallogeny,associated_structures,gold-bearing veins,12
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,turbidites,12
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,intrusive rocks,12
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,conglomerates,12
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,quartz veins,12
2011_Peters_East Markoye_2011.pdf,metallogeny,ore_minerals,gold,12
2011_Peters_East Markoye_2011.pdf,metallogeny,ore_minerals,arsenopyrite,12
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,epigenetic,12
2011_Peters_East Markoye_2011.pdf,geology,structures,faults,"13, 30"
2011_Peters_East Markoye_2011.pdf,geology,structures,fold axes,13
2011_Peters_East Markoye_2011.pdf,geochemistry,context,geochemical study,13
2011_Peters_East Markoye_2011.pdf,geology,rock_types,quartz monzonite,"14, 28"
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,major and trace elements,14
2011_Peters_East Markoye_2011.pdf,geochemistry,method,"XRF, ICP-MS",14
2011_Peters_East Markoye_2011.pdf,geochemistry,context,geochemical analysis,14
2011_Peters_East Markoye_2011.pdf,geology,rock_types,igneous,17
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metamorphic,17
2011_Peters_East Markoye_2011.pdf,geology,rock_types,sedimentary,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Relief,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Interference colours,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Pleochroism,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Cleavage,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Twinning,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Extinction angle,17
2011_Peters_East Markoye_2011.pdf,geology,structures,Interference figure,17
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Sand/Alluvium,"19, 39"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Ferricrete,"19, 39"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Monzodiorite,"19, 39"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Granodiorite- quartz monzodiorite,19
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Greywacke,19
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Dembam Conglomerate Member,19
2011_Peters_East Markoye_2011.pdf,metadata,location,Markoye,21
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metamorphosed sedimentary sequences,21
2011_Peters_East Markoye_2011.pdf,geology,rock_types,igneous intrusions,21
2011_Peters_East Markoye_2011.pdf,geology,rock_types,lithic greywackes,21
2011_Peters_East Markoye_2011.pdf,geology,rock_types,gritstone-greywacke,21
2011_Peters_East Markoye_2011.pdf,geology,rock_types,meta-greywacke,21
2011_Peters_East Markoye_2011.pdf,geology,minerals,K-feldspar,21
2011_Peters_East Markoye_2011.pdf,geology,structures,cross-bedding,"21, 22, 37, 38, 40, 48"
2011_Peters_East Markoye_2011.pdf,geology,structures,truncated beds,"21, 40"
2011_Peters_East Markoye_2011.pdf,geology,structures,slump folding,"21, 37"
2011_Peters_East Markoye_2011.pdf,geology,structures,scour and fill structures,"21, 37, 40"
2011_Peters_East Markoye_2011.pdf,geology,structures,flame structures,"21, 50"
2011_Peters_East Markoye_2011.pdf,geology,structures,gradational fining upwards sequences,21
2011_Peters_East Markoye_2011.pdf,geology,formation,Dembam Conglomerate Member,"22, 39"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,basalt,22
2011_Peters_East Markoye_2011.pdf,geology,rock_types,andesite,"22, 41, 42"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,mudstone,22
2011_Peters_East Markoye_2011.pdf,geology,rock_types,meta-sediments,22
2011_Peters_East Markoye_2011.pdf,geology,minerals,orthoclase,"22, 32"
2011_Peters_East Markoye_2011.pdf,geology,minerals,hornblende,"22, 27, 28, 29, 47"
2011_Peters_East Markoye_2011.pdf,geology,structures,ferruginization,22
2011_Peters_East Markoye_2011.pdf,geology,structures,slump folds,22
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metagreywacke,"23, 24, 25, 26"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,lithic metagreywacke,25
2011_Peters_East Markoye_2011.pdf,geology,rock_types,lithic gritstone-greywacke,25
2011_Peters_East Markoye_2011.pdf,geology,rock_types,gritstone with lithic fragments,25
2011_Peters_East Markoye_2011.pdf,geology,region,OGGB,"26, 28, 29, 44"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,greywacke with lithic fragments,26
2011_Peters_East Markoye_2011.pdf,metadata,author,Tshibubudze and Hein,27
2011_Peters_East Markoye_2011.pdf,geology,rock_types,quartz monzodiorite,"27, 32, 50"
2011_Peters_East Markoye_2011.pdf,geology,minerals,alkali feldspar,27
2011_Peters_East Markoye_2011.pdf,geology,structures,dykes,27
2011_Peters_East Markoye_2011.pdf,geology,structures,micro-veins,27
2011_Peters_East Markoye_2011.pdf,geology,structures,brecciation,27
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,metamorphism to the middle greenschist facies,27
2011_Peters_East Markoye_2011.pdf,metallogeny,mineralisation_type,gold,28
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,dykes,28
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,intrusion,28
2011_Peters_East Markoye_2011.pdf,geology,rock_types,hornfels,"29, 47"
2011_Peters_East Markoye_2011.pdf,geology,structures,fine-grained minerals,29
2011_Peters_East Markoye_2011.pdf,geology,structures,quartz-filled fractures,29
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,silicified and glassy,29
2011_Peters_East Markoye_2011.pdf,geology,rock_types,quartz,"30, 38"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,bleached greywacke,30
2011_Peters_East Markoye_2011.pdf,geology,structures,shear zones,30
2011_Peters_East Markoye_2011.pdf,geology,structures,splay faults,30
2011_Peters_East Markoye_2011.pdf,geology,structures,m-folds,30
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,extensional,30
2011_Peters_East Markoye_2011.pdf,geology,structures,bedding,31
2011_Peters_East Markoye_2011.pdf,geology,structures,girdle,31
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,calc-alkaline,32
2011_Peters_East Markoye_2011.pdf,geochemistry,sample_id,"KH/LP/145, KH/LP/147, KH/LP/148",32
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,major elements,32
2011_Peters_East Markoye_2011.pdf,geochemistry,method,CIPW norm and modal abundances,32
2011_Peters_East Markoye_2011.pdf,geochemistry,context,geochemical results from Tshibubudze and Hein,32
2011_Peters_East Markoye_2011.pdf,geology,rock_types,quartz-monzodiorite,"33, 35"
2011_Peters_East Markoye_2011.pdf,geochemistry,sample_id,KH/LP/145,"33, 35, 61"
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,total alkalis,33
2011_Peters_East Markoye_2011.pdf,geochemistry,context,classification diagrams,33
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,REE,35
2011_Peters_East Markoye_2011.pdf,geochemistry,context,normalised against chondrite meteorites,35
2011_Peters_East Markoye_2011.pdf,geology,formation,tonalite-trondjemite-granodiorite (TTG),36
2011_Peters_East Markoye_2011.pdf,geology,rock_types,intermediate intrusives,36
2011_Peters_East Markoye_2011.pdf,geology,minerals,olivine,36
2011_Peters_East Markoye_2011.pdf,geology,minerals,orthopyroxene,36
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,nickel,36
2011_Peters_East Markoye_2011.pdf,geochemistry,context,anomalous concentration in spider plot,36
2011_Peters_East Markoye_2011.pdf,geology,rock_types,ferricrete,"37, 45, 51"
2011_Peters_East Markoye_2011.pdf,geology,structures,gradational bedding,"37, 38"
2011_Peters_East Markoye_2011.pdf,geology,structures,ripple marks,"37, 40, 50"
2011_Peters_East Markoye_2011.pdf,geology,structures,upward fining sequences,37
2011_Peters_East Markoye_2011.pdf,geology,structures,mud drapes,"37, 40"
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,subduction type settings,37
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,fuchsitic chert,37
2011_Peters_East Markoye_2011.pdf,geology,formation,Tarkwa Group,38
2011_Peters_East Markoye_2011.pdf,geology,rock_types,meta-sediment,38
2011_Peters_East Markoye_2011.pdf,geology,rock_types,fuchsitic chert,38
2011_Peters_East Markoye_2011.pdf,geology,rock_types,black chert,"38, 50"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Palaeosands,39
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Granodiorite-quartz monzodiorite,39
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Greywacke with sedimentary features,39
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Greywacke with planar bedding,39
2011_Peters_East Markoye_2011.pdf,geology,rock_types,Greywacke with dominant lithic fragments,39
2011_Peters_East Markoye_2011.pdf,geology,rock_types,lithic-wackes,40
2011_Peters_East Markoye_2011.pdf,geology,rock_types,volcaniclastic,40
2011_Peters_East Markoye_2011.pdf,geology,structures,gradational fining upward sequences,40
2011_Peters_East Markoye_2011.pdf,geology,structures,planar bedding,"40, 48, 50"
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,retro-arc basin,41
2011_Peters_East Markoye_2011.pdf,geology,region,WAC,42
2011_Peters_East Markoye_2011.pdf,geology,rock_types,granite-adamellite,42
2011_Peters_East Markoye_2011.pdf,geology,structures,island arc terranes,42
2011_Peters_East Markoye_2011.pdf,geology,structures,orogenic belts,42
2011_Peters_East Markoye_2011.pdf,geology,structures,back-arc basin,42
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,subduction,42
2011_Peters_East Markoye_2011.pdf,metadata,location,"Wanganui Basin, New Zealand",43
2011_Peters_East Markoye_2011.pdf,geology,minerals,lithic fragments,43
2011_Peters_East Markoye_2011.pdf,geology,minerals,igneous minerals,43
2011_Peters_East Markoye_2011.pdf,geology,structures,deltaic system,43
2011_Peters_East Markoye_2011.pdf,geology,structures,steep submarine slope,43
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,back-arc setting at the convergent margin of the Pacific and Australian plates,43
2011_Peters_East Markoye_2011.pdf,geology,rock_types,quartz-monzonite,44
2011_Peters_East Markoye_2011.pdf,geology,structures,northeast-trending cleavage,44
2011_Peters_East Markoye_2011.pdf,geology,structures,discreet folding of F1,44
2011_Peters_East Markoye_2011.pdf,geology,structures,refolded by F2,44
2011_Peters_East Markoye_2011.pdf,geology,rock_types,laterite,"45, 48"
2011_Peters_East Markoye_2011.pdf,geology,rock_types,bauxite,45
2011_Peters_East Markoye_2011.pdf,geochronology,method,39Ar-Ar40 age dating,45
2011_Peters_East Markoye_2011.pdf,geochronology,age_Ma,18.0,45
2011_Peters_East Markoye_2011.pdf,geochronology,error_Ma,15.0,45
2011_Peters_East Markoye_2011.pdf,geochronology,rock_unit,laterite,45
2011_Peters_East Markoye_2011.pdf,geochronology,evidence,weathering and oxidation,45
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,Palaeoproterozoic rocks,45
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,weathering,45
2011_Peters_East Markoye_2011.pdf,geology,minerals,cpx,47
2011_Peters_East Markoye_2011.pdf,geology,minerals,chert,47
2011_Peters_East Markoye_2011.pdf,geology,structures,granophyric texture,47
2011_Peters_East Markoye_2011.pdf,geology,structures,randomly oriented hornblende needles,47
2011_Peters_East Markoye_2011.pdf,metallogeny,alteration,ferroginisation,47
2011_Peters_East Markoye_2011.pdf,geology,rock_types,greywackes,48
2011_Peters_East Markoye_2011.pdf,geology,structures,massive,48
2011_Peters_East Markoye_2011.pdf,geology,structures,graded,48
2011_Peters_East Markoye_2011.pdf,geology,formation,Dembam member,50
2011_Peters_East Markoye_2011.pdf,geology,rock_types,metasandstone,50
2011_Peters_East Markoye_2011.pdf,geology,rock_types,green chert,50
2011_Peters_East Markoye_2011.pdf,geology,rock_types,vein quartz,50
2011_Peters_East Markoye_2011.pdf,geology,structures,gravity induced slumping,50
2011_Peters_East Markoye_2011.pdf,geology,rock_types,palaeosands,51
2011_Peters_East Markoye_2011.pdf,geology,rock_types,alluvium,51
2011_Peters_East Markoye_2011.pdf,geology,structures,gentle folding,51
2011_Peters_East Markoye_2011.pdf,geology,structures,dextral-reverse normal faults,51
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,back-arc basin of an island arc,51
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,LREE,51
2011_Peters_East Markoye_2011.pdf,geochemistry,context,intrusive rocks,51
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,monzodiorite,51
2011_Peters_East Markoye_2011.pdf,metallogeny,host_rocks,granodiorite,51
2011_Peters_East Markoye_2011.pdf,metadata,title,"The development of iron crust lateritic systems in Burkina Faso, West Africa examined with in-situ-produced cosmogenic nuclides",53
2011_Peters_East Markoye_2011.pdf,metadata,author,"Brown, E. T., Bourles, D. L., Colin, F., Safno, Z., Raisbeck, G. M., Yiou, F.",53
2011_Peters_East Markoye_2011.pdf,metadata,year,1994,53
2011_Peters_East Markoye_2011.pdf,metadata,location,"Burkina Faso, West Africa",53
2011_Peters_East Markoye_2011.pdf,geology,region,"Burkina Faso, West Africa",53
2011_Peters_East Markoye_2011.pdf,geology,region,Ghana,55
2011_Peters_East Markoye_2011.pdf,metallogeny,mineralisation_type,gold mineralization,55
2011_Peters_East Markoye_2011.pdf,geology,region,West Africa,56
2011_Peters_East Markoye_2011.pdf,metadata,title,Geochemical and Sr–Nd isotopic data on the Birimian of the Kedougou-Kenieba Inlier (Eastern Senegal): implications on the Palaeoproterozoic evolution of the West African Craton,57
2011_Peters_East Markoye_2011.pdf,metadata,author,"Pawlig, S., Gueye, M., Klischies, R., Schwarz, S., Wemmer, K., Siegesmund, S.",57
2011_Peters_East Markoye_2011.pdf,metadata,year,2006,57
2011_Peters_East Markoye_2011.pdf,geology,region,"Kedougou-Kenieba Inlier, Eastern Senegal",57
2011_Peters_East Markoye_2011.pdf,metadata,title,Evolution of a Paleoproterozoic ‘‘weak type” orogeny in the West African Craton (Ivory Coast),58
2011_Peters_East Markoye_2011.pdf,metadata,author,"R. H. Vernon, G. L. Clarke",58
2011_Peters_East Markoye_2011.pdf,metadata,year,2008,58
2011_Peters_East Markoye_2011.pdf,metadata,institution,Cambridge University Press,58
2011_Peters_East Markoye_2011.pdf,metadata,location,Cambridge,58
2011_Peters_East Markoye_2011.pdf,geology,tectonic_setting,Paleoproterozoic orogeny,58
2011_Peters_East Markoye_2011.pdf,geochemistry,analyte,SiO2,61
2011_Peters_East Markoye_2011.pdf,geochemistry,value,69.03,61
2011_Peters_East Markoye_2011.pdf,geochemistry,method,XRF,61
